"en","key","enAbbrev","Spanish","write-in","esAbbrev","es","✓","Portuguese","write-in","ptAbbrev","pt","✓","French","write-in","frAbbrev","fr","✓","Hebrew","write-in","heAbbrev","he","✓","Arabic","write-in","arAbbrev","ar","✓","Hindi","write-in","hiAbbrev","hi","✓","Bengali","write-in","bnAbbrev","bn","✓","Oriya","write-in","orAbbrev","or","✓","as","asAbbrev","✓","Indonesian","write-in","idAbbrev","id","✓","Russian","write-in","ruAbbrev","ru","✓","Mandarin Chinese (simplified)","write-in","zhAbbrev","zh","✓","Hausa","write-in","haAbbrev","ha","✓","Swahili","write-in","swAbbrev","sw","✓","Amharic","write-in","amAbbrev","am","✓","Thai","write-in","thAbbrev","th","✓","Malay","write-in","msAbbrev","ms","✓","Filipino","write-in","filAbbrev","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aspect marker","asp","asp","marcador de aspecto","marcador de aspecto","asp","marcador de aspecto","TRUE","marcador de aspecto","marca de aspecto","","marca de aspecto","TRUE","marqueur d'aspect","marqueur d'aspect","asp.","marqueur d'aspect","TRUE","היבט סמן","סמן אספקט (היבט)","","סמן אספקט (היבט)","TRUE","الجانب علامة","صيغة هيئة الفعل","","صيغة هيئة الفعل","FALSE","पहलू मार्कर","पक्ष चिह्न","","पक्ष चिह्न","TRUE","দৃষ্টিভঙ্গি মার্কার","প্রকার চিহ্ন","প্রক.চি.","প্রকার চিহ্ন","TRUE","ଆଶାତିତ ଚିହ୍ନଟକ","","","ଆଶାତିତ ଚିହ୍ନଟକ","FALSE","","","FALSE","aspek penanda","pemarkah aspek","","pemarkah aspek","TRUE","аспект маркера","видовой маркер","","видовой маркер","TRUE","体标记","","","体标记","FALSE","al'amari alama","","","al'amari alama","FALSE","kipengele marker","Kitambulishi cha njeohali","kinjh","Kitambulishi cha njeohali","TRUE","ገጽታ ምልክት ማድረጊያ","የስልት አመልካች","","የስልት አመልካች","TRUE","เครื่องหมายด้าน","","","เครื่องหมายด้าน","FALSE","aspek penanda","penanda aspek","","penanda aspek","TRUE","aspeto marker.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mood marker","mod","mod","marcador de estado de ánimo","indicador de modo","mod","indicador de modo","TRUE","humor marcador","marca de modo","","marca de modo","TRUE","marqueur d'humeur","marqueur d'humeur","hum.","marqueur d'humeur","TRUE","מצב רוח סמן","סמן מודוס (דרך)","","סמן מודוס (דרך)","TRUE","المزاج علامة","صيغة حالة الفعل","","صيغة حالة الفعل","FALSE","मूड मार्कर","वृति चिह्न","","वृति चिह्न","TRUE","মেজাজ মার্কার","ক্রিয়াভাব চিহ্ন","ক্রিভা.চি.","ক্রিয়াভাব চিহ্ন","TRUE","Mood ଚିହ୍ନଟକ","","","Mood ଚିହ୍ନଟକ","FALSE","","","FALSE","suasana hati penanda","pemarkah modus","","pemarkah modus","TRUE","настроение маркер","залоговый маркер","","залоговый маркер","TRUE","心情标志","","","心情标志","FALSE","yanayi alama","","","yanayi alama","FALSE","mood marker","Kitambulishi dhamira","kidh","Kitambulishi dhamira","TRUE","የስሜት ማድረጊያ","የስልት አመልካች","","የስልት አመልካች","TRUE","Mood Marker","","","Mood Marker","FALSE","mood mood.","penanda suasana","","penanda suasana","TRUE","Mood marker.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noun class marker","n.cls","n.cls","marcador de la clase del sustantivo","marcador de clase de sustantivo","s.cls","marcador de clase de sustantivo","TRUE","marcador classe substantivo","marca de classe nominal","","marca de classe nominal","TRUE","nom marqueur de classe","marqueur de classe nominale","cl. nom.","marqueur de classe nominale","TRUE","סמן בכיתת עצם","סמן קבוצת שמות עצם","","סמן קבוצת שמות עצם","TRUE","علامة الدرجة الاسمية","علامة إعراب فئة الأسماء","ف.س.","علامة إعراب فئة الأسماء","FALSE","संज्ञा वर्ग मार्कर","संज्ञा वर्ग चिह्न","","संज्ञा वर्ग चिह्न","TRUE","বিশেষ্য শ্রেণী মার্কার","নাম-শব্দ চিহ্ন","নাম চি.","নাম-শব্দ চিহ্ন","TRUE","ବିଶେଷ୍ୟ ଶ୍ରେଣୀ ଚିହ୍ନଟକ","","","ବିଶେଷ୍ୟ ଶ୍ରେଣୀ ଚିହ୍ନଟକ","FALSE","","","FALSE","kata benda kelas penanda","pemarkah kelas nomina","","pemarkah kelas nomina","TRUE","существительное класса маркер","маркер именного класса","","маркер именного класса","TRUE","名词类别标记","","","名词类别标记","FALSE","suna aji alama","","","suna aji alama","FALSE","nomino marker darasa","Kibainishi cha Ngeli nomino","kb.nm","Kibainishi cha Ngeli nomino","TRUE","ስም ክፍል ማድረጊያ","የስም ክፍል አመልካች","","የስም ክፍል አመልካች","TRUE","เครื่องหมายคำนาม","","","เครื่องหมายคำนาม","FALSE","Noun Class Marker.","penanda golongan kata nama","","penanda golongan kata nama","TRUE","Pangngalan: Class Marker.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"quotative","quot","quot","de citación","cuotativo","cuot","cuotativo","TRUE","quotative","quotativo","","quotativo","TRUE","quotative","quotatif","quot.","quotatif","TRUE","quotative","סממן ציטוט או דיבור ישיר","","סממן ציטוט או דיבור ישיר","TRUE","quotative","استشهادي/ مقتبَس","ع تنص","استشهادي/ مقتبَس","FALSE","quotative","उद्धरण","","उद्धरण","TRUE","quotative","উক্তিমূলক","উ.মূ.","উক্তিমূলক","TRUE","quotative","","","quotative","FALSE","","","FALSE","quotative","kuotatif","","kuotatif","TRUE","квотатив","","","квотатив","TRUE","quotative","","","quotative","FALSE","quotative","","","quotative","FALSE","quotative","Kinukuu","kn","Kinukuu","TRUE","quotative","ብለት","","ብለት","TRUE","เกี่ยวกับคำพูด","","","เกี่ยวกับคำพูด","FALSE","kutipan","kata petikan","","kata petikan","TRUE","Sipi","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adposition","adp","adp","adposición","adposición","adpos","adposición","TRUE","adposition","adposição","","adposição","TRUE","adposition","adposition","adpos.","adposition","TRUE","adposition","מילת יחס","","מילת יחס","TRUE","adposition","حرف مساند","ح. ج.","حرف مساند","FALSE","adposition","","","adposition","FALSE","adposition","সংসর্গ","সংস.","সংসর্গ","TRUE","adposition","","","adposition","FALSE","","","FALSE","adposition","adposisi","","adposisi","TRUE","Позиция объявления","предлог / послелог","","предлог / послелог","TRUE","adposition","","","adposition","FALSE","adposition","","","adposition","FALSE","adposition","Kihusishi","kh","Kihusishi","TRUE","adposition","መስተዋድድ","","መስተዋድድ","TRUE","การ adposition","","","การ adposition","FALSE","adposition.","kata sendi nama","","kata sendi nama","TRUE","Adposition.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"definite article","def","def","artículo determinado","artículo definido","déf","artículo definido","TRUE","artigo definido","artigo definido","","artigo definido","TRUE","article défini","article défini","art. déf.","article défini","TRUE","ה""א הידיעה","תווית מיידעת","","תווית מיידעת","TRUE","أداة التعريف","أداة التعريف","أد. تعر.","أداة التعريف","FALSE","निश्चित लेख","निश्चायक उपपद","","निश्चायक उपपद","TRUE","নির্দিষ্ট নিবন্ধ","নির্দিষ্ট নির্দেশক","নিদ. নি.","নির্দিষ্ট নির্দেশক","TRUE","ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରବନ୍ଧ","","","ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରବନ୍ଧ","FALSE","","","FALSE","Artikel yang pasti","artikel definit","","artikel definit","TRUE","определенный артикль","","","определенный артикль","TRUE","定冠词","","","定冠词","FALSE","tabbataccen labarin","","","tabbataccen labarin","FALSE","Nakala sahihi","Kibainishi bayana","kb.by","Kibainishi bayana","TRUE","ጠቃሽ","ዕምር አመልካች","","ዕምር አመልካች","TRUE","บทความที่แน่นอน","","","บทความที่แน่นอน","FALSE","Pasangan yang pasti","kata sandang pasti","","kata sandang pasti","TRUE","Tiyak na artikulo","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"indefinite article","indf","indf","articulo indefinido","artículo indefinido","indf","artículo indefinido","TRUE","artigo indefinido","artigo indefinido","","artigo indefinido","TRUE","article indéfini","article indéfini","art. indéf.","article indéfini","TRUE","מאמר לא החלטי","תווית בלתי-מיידעת","","תווית בלתי-מיידעת","TRUE","اداة نكرة","أداة النكرة","أد. تنك.","أداة النكرة","FALSE","अनिश्चितकालीन लेख","अनिश्चायक उपपद","","अनिश्चायक उपपद","TRUE","অনির্দিষ্ট নিবন্ধ","অনির্দিষ্ট আর্টিকেল","অনিদ.নি.","অনির্দিষ্ট আর্টিকেল","TRUE","ଅନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରବନ୍ଧ","","","ଅନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରବନ୍ଧ","FALSE","","","FALSE","kata sandang tak tertentu","artikel indefinit","","artikel indefinit","TRUE","неопределенный артикль","","","неопределенный артикль","TRUE","不定冠词","","","不定冠词","FALSE","m labarin","","","m labarin","FALSE","nakala isiyo","Kibainishi fiche","kbf","Kibainishi fiche","TRUE","ያልተወሰነ አንቀጽ","ኢዕምር አመልካች","","ኢዕምር አመልካች","TRUE","บทความไม่มีกำหนด","","","บทความไม่มีกำหนด","FALSE","Perkara yang tidak terbatas","kata sandang tidak pasti","","kata sandang tidak pasti","TRUE","indefinite article.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"indefinite pronoun","indfpro","indfpro","pronombre indefinido","pronombre indefinido","indf","pronombre indefinido","TRUE","pronome indefinido","pronome indefinido","","pronome indefinido","TRUE","pronom indéfini","pronom indéfini","pr. indéf.","pronom indéfini","TRUE","כנוי ללא הגבלת זמן","כינוי גוף בלתי-מיידע","","כינוי גוף בלתי-מיידע","TRUE","ضمير نكرة","ضمير نكرة","ضم. نك.","ضمير نكرة","FALSE","अनिश्चितकालीन सर्वनाम","अनिश्चयवाचक सर्वनाम","","अनिश्चयवाचक सर्वनाम","TRUE","অনির্দিষ্ট সর্বনাম","অনির্দেশক সর্বনা্ম","অনি.সর্ব.","অনির্দেশক সর্বনা্ম","TRUE","ଅନିର୍ଦ୍ଦିଷ୍ଟ ବିଶେଷଣ","","","ଅନିର୍ଦ୍ଦିଷ୍ଟ ବିଶେଷଣ","FALSE","","","FALSE","kata ganti tak tentu","pronomina indefinit","","pronomina indefinit","TRUE","неопределенный местоимение","неопределенное местоимение","","неопределенное местоимение","TRUE","不定代词","","","不定代词","FALSE","m wakilin suna","","","m wakilin suna","FALSE","muda usiojulikana kiwakilishi","Kiwakilishi jumla","kwj","Kiwakilishi jumla","TRUE","ያልተወሰነ ተውላጠ ስም","ኢዕምር ተውላጠስም","","ኢዕምር ተውላጠስም","TRUE","สรรพนามไม่ จำกัด","","","สรรพนามไม่ จำกัด","FALSE","kata ganti biasa","kata ganti nama tak tentu","","kata ganti nama tak tentu","TRUE","indefinite pronoun.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
