"en","key","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","Assamese","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
