"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarusian","Беларуская мова","Bielaruskaja mova","be","","","","","Bielorruso","","Bielorruso","FALSE","bielorrusso","Bielorruso","Bielorruso","TRUE","biélorusse","","biélorusse","FALSE","בלארוסית","","בלארוסית","FALSE","البيلاروسية","","البيلاروسية","FALSE","बेलारूसी","","बेलारूसी","FALSE","বেলারুশিয়","বেলারুশি","বেলারুশি","TRUE","ବେଲାରୁଷିଆନ୍","","ବେଲାରୁଷିଆନ୍","FALSE","","FALSE","Belarusia","Bahasa Belarusia","Bahasa Belarusia","TRUE","Белорусский","белорусский","белорусский","TRUE","白俄罗斯","","白俄罗斯","FALSE","Belarushiyanci","","Belarushiyanci","FALSE","Kibelarusi","Kibelarusi","Kibelarusi","TRUE","ቤላሩሲያን","ቤላሩሲያንኛ","ቤላሩሲያንኛ","TRUE","ชาวเบลารุส","","ชาวเบลารุส","FALSE","Belarus.","Bahasa Belarus","Bahasa Belarus","TRUE","Belarusian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bemba","ChiBemba","","bem","","","","","Bemba","","Bemba","FALSE","Bemba","Bemba","Bemba","TRUE","Bemba","","Bemba","FALSE","במבה","","במבה","FALSE","بمبا","","بمبا","FALSE","बेम्बा","","बेम्बा","FALSE","বেম্বা","বেম্বা","বেম্বা","TRUE","Bemba","","Bemba","FALSE","","FALSE","Bemba","Bahasa Bamba","Bahasa Bamba","TRUE","Bemba","бемба","бемба","TRUE","本巴","","本巴","FALSE","Bemba","","Bemba","FALSE","Bemba","Kibemba ","Kibemba ","TRUE","ቤምባ","ቤምባኛ","ቤምባኛ","TRUE","bemba","","bemba","FALSE","Bemba.","Bahasa Bemba","Bahasa Bemba","TRUE","Bemba.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bengali","বাংলা","Bangla","bn","Keyboard_bengali","true","","","bengalí","bengalí","bengalí","TRUE","bengali","Bengali","Bengali","TRUE","bengali","Bengali","Bengali","TRUE","בנגלית","","בנגלית","TRUE","بنغالي","البنغالية","البنغالية","FALSE","बंगाली","","बंगाली","FALSE","বাংলা","বাংলা","বাংলা","TRUE","ବଙ୍ଗାଳୀ","","ବଙ୍ଗାଳୀ","FALSE","","FALSE","Benggala","Bahasa Bengali","Bahasa Bengali","TRUE","бенгальский","","бенгальский","TRUE","孟加拉","","孟加拉","FALSE","Bengali","","Bengali","FALSE","Kibengali","Kibengali","Kibengali","TRUE","ቤንጋሊ","ቤንጋሊኛ","ቤንጋሊኛ","TRUE","เบงกาลี","","เบงกาลี","FALSE","Bengali","Bahasa Bengali","Bahasa Bengali","TRUE","Bengali.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Betawi","Bahasa Betawi","","bew","","","","","betawi","","betawi","FALSE","Betawi","Batawi","Batawi","TRUE","betawi","","betawi","FALSE","Betawi","","Betawi","FALSE","البيتاوي","","البيتاوي","FALSE","Betawi","","Betawi","FALSE","Betawi,","বেতাভি ","বেতাভি ","TRUE","Betawi","","Betawi","FALSE","","FALSE","betawi","Bahasa Betawi","Bahasa Betawi","TRUE","Betawi","бетави","бетави","TRUE","Betawi","","Betawi","FALSE","Betawi","","Betawi","FALSE","Betawi","Kibetawi","Kibetawi","TRUE","Betawi","ቤታዊኛ","ቤታዊኛ","TRUE","betawi","","betawi","FALSE","Betawi.","Bahasa Betawi","Bahasa Betawi","TRUE","Betawi.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biak","wós vyak","wós kovedi","bhw","","","","","Biak","","Biak","FALSE","Biak","Biak","Biak","TRUE","Biak","","Biak","FALSE","Biak","","Biak","FALSE","بياك","","بياك","FALSE","Biak","","Biak","FALSE","বিয়াক","বিয়াক","বিয়াক","TRUE","Biak","","Biak","FALSE","","FALSE","Biak","Bahasa Biak","Bahasa Biak","TRUE","Biak","биакский","биакский","TRUE","比亚克","","比亚克","FALSE","Biak","","Biak","FALSE","Biak","Kibiak","Kibiak","TRUE","Biak","ቢያክኛ","ቢያክኛ","TRUE","biak","","biak","FALSE","Biak","Bahasa Biak","Bahasa Biak","TRUE","Biak.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bikol","Bicol","Bicol Naga","bik","","","","","Bikol","","Bikol","FALSE","Bikol","Bicolano","Bicolano","TRUE","Bikol","","Bikol","FALSE","Bikol","","Bikol","FALSE","بيكولي","","بيكولي","FALSE","बिकोल","","बिकोल","FALSE","বিকোল","বিকোল","বিকোল","TRUE","Bikol","","Bikol","FALSE","","FALSE","Bikol","Bahasa Bikol","Bahasa Bikol","TRUE","Bikol","бикольский","бикольский","TRUE","Bikol","","Bikol","FALSE","Bikol","","Bikol","FALSE","Bikol","Kibikol","Kibikol","TRUE","Bikol","","Bikol","FALSE","บิกิค","","บิกิค","FALSE","Bikol.","Bahasa Bikol","Bahasa Bikol","TRUE","Bikol.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bislama","","","bi","","","","","Bislama","","Bislama","FALSE","Bislama","Bislamá","Bislamá","TRUE","bichlamar","","bichlamar","FALSE","ביסלמית","","ביסלמית","FALSE","البيسلامية","","البيسلامية","FALSE","बिस्लामा","","बिस्लामा","FALSE","বিসলামা","বিসলামা","বিসলামা","TRUE","Bislama","","Bislama","FALSE","","FALSE","Bislama","Bahasa Bislama","Bahasa Bislama","TRUE","Бислама","бислама","бислама","TRUE","比斯拉马语","","比斯拉马语","FALSE","bislama","","bislama","FALSE","Bislama","Bislama","Bislama","TRUE","ቢስላማኛ","ቢስላማኛ","ቢስላማኛ","TRUE","Bislama","","Bislama","FALSE","Bislama","Bahasa Bislama","Bahasa Bislama","TRUE","Bislama.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bodo","बड़ो","","brx","","","","","Bodo","","Bodo","FALSE","Bodo","Bodo","Bodo","TRUE","Bodo","","Bodo","FALSE","בודו","","בודו","FALSE","بودو","","بودو","FALSE","बोडो","","बोडो","FALSE","বোডো","বোরো ","বোরো ","TRUE","Bodo","","Bodo","FALSE","","FALSE","Bodo","Bahasa Bodo","Bahasa Bodo","TRUE","Бодо","бодо","бодо","TRUE","博多","","博多","FALSE","Bodo","","Bodo","FALSE","Bodo","Bodo","Bodo","TRUE","Bodo","","Bodo","FALSE","โคโด","","โคโด","FALSE","Bodo.","Bahasa Bodo","Bahasa Bodo","TRUE","Bodo.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnian","Bosanski","","bos","","","","","bosnio","","bosnio","FALSE","Bosnian","Bósnio","Bósnio","TRUE","Bosnie","","Bosnie","FALSE","בוסנית","","בוסנית","FALSE","البوسنية","","البوسنية","FALSE","बोस्नियाई","","बोस्नियाई","FALSE","বসনীয়","বসনিয়ান","বসনিয়ান","TRUE","ବୋସୋନିଆନ୍","","ବୋସୋନିଆନ୍","FALSE","","FALSE","Bosnia","Bahasa Bosnia","Bahasa Bosnia","TRUE","боснийский","","боснийский","TRUE","波斯尼亚","","波斯尼亚","FALSE","Bosnian","","Bosnian","FALSE","Kibosnia","Kisbonia","Kisbonia","TRUE","ቦስንያን","","ቦስንያን","FALSE","ชาวบอสเนีย","","ชาวบอสเนีย","FALSE","Bosnian","Bahasa Bosnia","Bahasa Bosnia","TRUE","Bosnian.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buginese","Basa Ugi","","bug","","","","","buginés","","buginés","FALSE","buguinês","Buguinês","Buguinês","TRUE","Bugis","","Bugis","FALSE","בגינזית","","בגינזית","FALSE","البجينيزية","","البجينيزية","FALSE","बगिनीस","","बगिनीस","FALSE","বুগিনি","বুগিনিস","বুগিনিস","TRUE","Buginese","","Buginese","FALSE","","FALSE","Bugis","Bahasa Bugis","Bahasa Bugis","TRUE","Бугийский","бугинский","бугинский","TRUE","布吉文","","布吉文","FALSE","Buginese","","Buginese","FALSE","Buginese","Kibugini","Kibugini","TRUE","ቡጊኔዝ","","ቡጊኔዝ","FALSE","คนอ้วน","","คนอ้วน","FALSE","Buginese.","Bahasa Bugis","Bahasa Bugis","TRUE","Buginese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgarian","","","bg","","","","","búlgaro","","búlgaro","FALSE","búlgaro","Búlgaro","Búlgaro","TRUE","bulgare","","bulgare","FALSE","בולגרי","","בולגרי","FALSE","البلغارية","","البلغارية","FALSE","बल्गेरियाई","","बल्गेरियाई","FALSE","বুলগেরীয়","বুলগেরীয়","বুলগেরীয়","TRUE","Bulgarian","","Bulgarian","FALSE","","FALSE","Bulgaria","Bahasa Bulgaria","Bahasa Bulgaria","TRUE","болгарский","","болгарский","TRUE","保加利亚语","","保加利亚语","FALSE","Bulgarian","","Bulgarian","FALSE","bulgarian","Kibulgaria","Kibulgaria","TRUE","ቡልጋርያኛ","ቡልጋርያኛ","ቡልጋርያኛ","TRUE","ชาวบัลแกเรีย","","ชาวบัลแกเรีย","FALSE","Bulgaria","Bahasa Bulgaria","Bahasa Bulgaria","TRUE","Bulgarian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burmese","မြန်မာစာ","mranmabhasa","my","Keyboard_burmese02","true","","","birmano","birmano","birmano","TRUE","birmanês","Birmanês","Birmanês","TRUE","birman","Birman","Birman","TRUE","בורמזי","בורמזית","בורמזית","TRUE","البورمية","البورمية","البورمية","FALSE","बर्मी","","बर्मी","FALSE","বর্মী","বর্মী","বর্মী","TRUE","Burmese","","Burmese","FALSE","","FALSE","Birma","Bahasa Birma","Bahasa Birma","TRUE","бирманский","","бирманский","TRUE","缅甸语","","缅甸语","FALSE","Burma","","Burma","FALSE","Kiburma","Kiburma","Kiburma","TRUE","በርሚስ","","በርሚስ","FALSE","พม่า","","พม่า","FALSE","Burma.","Bahasa Burma","Bahasa Burma","TRUE","Burmese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cantonese","广东话","","yue","Keyboard_chinese","true","cmn","","cantonés","cantonés","cantonés","TRUE","Cantonês","Cantonês","Cantonês","TRUE","Cantonais","Cantonais","Cantonais","TRUE","קנטונזית","","קנטונזית","TRUE","الكانتونية","الكانتونية","الكانتونية","FALSE","कैंटोनीज़","","कैंटोनीज़","FALSE","ক্যান্টোনিজ","ক্যান্টোনিজ","ক্যান্টোনিজ","TRUE","Cantonese","","Cantonese","FALSE","","FALSE","Kanton","Bahasa Kanton","Bahasa Kanton","TRUE","кантонский","","кантонский","TRUE","广东话","","广东话","FALSE","Kannada","","Kannada","FALSE","Kikantoni","Kikantoni","Kikantoni","TRUE","ካንቶኒዝ","","ካንቶኒዝ","FALSE","กวางตุ้ง","","กวางตุ้ง","FALSE","Kantonis","Bahasa Kantonis","Bahasa Kantonis","TRUE","Cantonese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
